Date,Year,Forecast Temperature
01-01-2034,2034,17.34461725
02-01-2034,2034,19.69304914
03-01-2034,2034,19.76896198
04-01-2034,2034,19.21939775
05-01-2034,2034,19.52464536
06-01-2034,2034,20.00311242
07-01-2034,2034,19.55176569
08-01-2034,2034,21.50088886
09-01-2034,2034,20.12691168
10-01-2034,2034,21.35570874
11-01-2034,2034,22.4360961
12-01-2034,2034,23.65592505
13-01-2034,2034,26.82423313
14-01-2034,2034,29.86673328
15-01-2034,2034,24.31667476
16-01-2034,2034,22.29452117
17-01-2034,2034,21.79522004
18-01-2034,2034,24.4403232
19-01-2034,2034,23.10416498
20-01-2034,2034,24.15641786
21-01-2034,2034,24.40169294
22-01-2034,2034,24.70642939
23-01-2034,2034,24.03943392
24-01-2034,2034,23.52596524
25-01-2034,2034,23.68359813
26-01-2034,2034,23.3428296
27-01-2034,2034,24.12944376
28-01-2034,2034,25.42693949
29-01-2034,2034,27.46421222
30-01-2034,2034,25.34444838
31-01-2034,2034,22.24356102
01-02-2034,2034,25.9383216
02-02-2034,2034,24.92908265
03-02-2034,2034,30.32362874
04-02-2034,2034,33.09667659
05-02-2034,2034,35.38459313
06-02-2034,2034,27.06499103
07-02-2034,2034,27.4983318
08-02-2034,2034,30.64152194
09-02-2034,2034,30.43712693
10-02-2034,2034,28.86179958
11-02-2034,2034,31.35942359
12-02-2034,2034,28.15526034
13-02-2034,2034,31.40810974
14-02-2034,2034,35.46623577
15-02-2034,2034,36.0252808
16-02-2034,2034,33.82244809
17-02-2034,2034,32.97555973
18-02-2034,2034,34.80242413
19-02-2034,2034,30.4512336
20-02-2034,2034,28.4116925
21-02-2034,2034,30.78446852
22-02-2034,2034,36.3417909
23-02-2034,2034,39.03907872
24-02-2034,2034,36.57671038
25-02-2034,2034,33.17230176
26-02-2034,2034,30.38153787
27-02-2034,2034,35.41415465
28-02-2034,2034,40.63590415
01-03-2034,2034,41.03310655
02-03-2034,2034,40.04588158
03-03-2034,2034,41.24278711
04-03-2034,2034,41.34826049
05-03-2034,2034,39.46767975
